casino,month,year,table_games_win,slot_win,total_casino_win
TROPICANA CASINO & RESORT,December,2024,5078712,14674453,19898558
TROPICANA CASINO & RESORT,January,2025,3910465,11032479,15078957
TROPICANA CASINO & RESORT,February,2025,3207215,12538408,15868006
TROPICANA CASINO & RESORT,March,2025,4753270,14901062,19796837
TROPICANA CASINO & RESORT,April,2025,2277204,13346443,15749867
TROPICANA CASINO & RESORT,May,2025,3987484,15546155,19676896
TROPICANA CASINO & RESORT,June,2025,3119197,14869852,18140353
TROPICANA CASINO & RESORT,July,2025,3898185,18824520,22900345
TROPICANA CASINO & RESORT,August,2025,4561945,21138074,25879044
TROPICANA CASINO & RESORT,September,2025,2400901,13722133,16235696
TROPICANA CASINO & RESORT,October,2025,2436953,13508326,16051700
TROPICANA CASINO & RESORT,November,2025,3104636,12688672,15905672
TROPICANA CASINO & RESORT,December,2025,3065329,12340777,15520861
