casino,month,year,monthly_retail_sports_win,monthly_internet_sports_win,total_sports_win
OCEAN CASINO RESORT,August,2025,272666,514545,787211
OCEAN CASINO RESORT,September,2025,46579,493210,539789
OCEAN CASINO RESORT,October,2025,207532,542481,750013
OCEAN CASINO RESORT,November,2025,259282,555278,814560
OCEAN CASINO RESORT,December,2025,35998,696464,732462
RESORTS CASINO HOTEL,January,2022,272773,,272773
RESORTS CASINO HOTEL,February,2022,451455,,451455
RESORTS CASINO HOTEL,March,2022,19002,,19002
RESORTS CASINO HOTEL,April,2022,,,0
RESORTS CASINO HOTEL,May,2022,,,0
RESORTS CASINO HOTEL,June,2022,132516,,132516
RESORTS CASINO HOTEL,July,2022,73593,,73593
RESORTS CASINO HOTEL,August,2022,260086,,260086
RESORTS CASINO HOTEL,September,2022,228847,,228847
RESORTS CASINO HOTEL,October,2022,67432,,67432
RESORTS CASINO HOTEL,November,2022,151640,,151640
RESORTS CASINO HOTEL,December,2022,249918,,249918
RESORTS CASINO HOTEL,January,2023,212105,,212105
RESORTS CASINO HOTEL,February,2023,2825,,2825
RESORTS CASINO HOTEL,March,2023,80488,,80488
RESORTS CASINO HOTEL,April,2023,58339,,58339
RESORTS CASINO HOTEL,May,2023,56172,,56172
RESORTS CASINO HOTEL,June,2023,50304,,50304
RESORTS CASINO HOTEL,July,2023,33670,,33670
RESORTS CASINO HOTEL,August,2023,8081,,8081
RESORTS CASINO HOTEL,September,2023,3436,,3436
RESORTS CASINO HOTEL,October,2023,14002,,14002
RESORTS CASINO HOTEL,November,2023,32437,,32437
RESORTS CASINO HOTEL,December,2023,70886,,70886
RESORTS CASINO HOTEL,January,2024,135565,,135565
RESORTS CASINO HOTEL,February,2024,97661,,97661
RESORTS CASINO HOTEL,March,2024,30756,,30756
RESORTS CASINO HOTEL,April,2024,301710,,301710
RESORTS CASINO HOTEL,May,2024,56251,,56251
RESORTS CASINO HOTEL,June,2024,9343,,9343
RESORTS CASINO HOTEL,July,2024,22367,,22367
RESORTS CASINO HOTEL,August,2024,113207,,113207
RESORTS CASINO HOTEL,September,2024,3692,9098327,9102019
RESORTS CASINO HOTEL,October,2024,146786,3816662,3963448
RESORTS CASINO HOTEL,November,2024,1673,7874956,7876629
RESORTS CASINO HOTEL,December,2024,66135,5380767,5446902
RESORTS CASINO HOTEL,January,2025,120647,7947569,8068216
RESORTS CASINO HOTEL,February,2025,1843,1786463,1788306
RESORTS CASINO HOTEL,March,2025,111017,2574260,2685277
RESORTS CASINO HOTEL,April,2025,6032,5911719,5917751
